"carrier_id","type","date_pulled","owned","term_leased","trip_leased"
1000702,Straight Trucks,"5/26/2023",2,0,0
1000703,Straight Trucks,"5/26/2023",1,0,0
1000706,Truck Tractors,"5/26/2023",1,0,0
1000706,Trailers*,"5/26/2023",1,0,0
1000708,Straight Trucks,"5/26/2023",12,0,0
1000708,Trailers*,"5/26/2023",1,0,0
1000709,Straight Trucks,"5/26/2023",2,0,0
1000712,Straight Trucks,"5/26/2023",1,0,0
1000712,Trailers*,"5/26/2023",1,0,0
1000713,Straight Trucks,"5/26/2023",3,0,0
1000715,Truck Tractors,"5/26/2023",1,0,0
1000715,Trailers*,"5/26/2023",1,0,0
1000716,Straight Trucks,"5/26/2023",1,0,0
1000718,Straight Trucks,"5/26/2023",4,0,0
1000719,Truck Tractors,"5/26/2023",1,0,0
1000719,Trailers*,"5/26/2023",1,0,0
1000720,Straight Trucks,"5/26/2023",4,0,0
1000722,Straight Trucks,"5/26/2023",2,0,0
1000723,Straight Trucks,"5/26/2023",1,0,0
1000727,Truck Tractors,"5/26/2023",1,0,0
1000728,Truck Tractors,"5/26/2023",3,0,0
1000728,Trailers*,"5/26/2023",1,0,0
1000732,Straight Trucks,"5/26/2023",1,0,0
1000733,Straight Trucks,"5/26/2023",3,0,0
1000735,Truck Tractors,"5/26/2023",5,0,0
1000737,Truck Tractors,"5/26/2023",1,0,0
1000738,Truck Tractors,"5/26/2023",2,0,0
1000738,Trailers*,"5/26/2023",6,0,0
1000741,Straight Trucks,"5/26/2023",1,0,0
1000742,Trailers*,"5/26/2023",1,0,0
1000743,Straight Trucks,"5/26/2023",2,0,0
1000745,Straight Trucks,"5/26/2023",5,0,0
1000745,Trailers*,"5/26/2023",1,0,0
1000746,Truck Tractors,"5/26/2023",5,0,0
1000746,Trailers*,"5/26/2023",7,0,0
1000748,Straight Trucks,"5/26/2023",8,1,0
1000751,Straight Trucks,"5/26/2023",1,0,0
1000752,Straight Trucks,"5/26/2023",3,0,0
1000753,Straight Trucks,"5/26/2023",5,0,0
1000753,Truck Tractors,"5/26/2023",3,0,0
1000753,Trailers*,"5/26/2023",10,0,0
1000754,Straight Trucks,"5/26/2023",2,0,0
1000756,Straight Trucks,"5/26/2023",1,0,0
1000757,Straight Trucks,"5/26/2023",0,1,0
1000760,Truck Tractors,"5/26/2023",1,0,0
1000760,Trailers*,"5/26/2023",2,0,0
1000761,Straight Trucks,"5/26/2023",1,0,0
1000765,Straight Trucks,"5/26/2023",1,2,0
1000765,Trailers*,"5/26/2023",3,0,0
1000766,Truck Tractors,"5/26/2023",2,0,0
1000766,Trailers*,"5/26/2023",2,0,0
1000769,Straight Trucks,"5/26/2023",1,0,0
1000770,Straight Trucks,"5/26/2023",1,0,0
1000771,Straight Trucks,"5/26/2023",1,0,0
1000772,Straight Trucks,"5/26/2023",1,0,0
1000773,Straight Trucks,"5/26/2023",1,0,0
1000775,Straight Trucks,"5/26/2023",2,1,0
1000776,Straight Trucks,"5/26/2023",1,0,0
1000776,Truck Tractors,"5/26/2023",1,0,0
1000779,Straight Trucks,"5/26/2023",3,0,0
1000781,Truck Tractors,"5/26/2023",2,0,0
1000781,Trailers*,"5/26/2023",2,0,0
1000786,Straight Trucks,"5/26/2023",1,0,0
1000787,Truck Tractors,"5/26/2023",3,0,0
1000787,Trailers*,"5/26/2023",4,0,0
1000789,Truck Tractors,"5/26/2023",1,0,0
1000790,Straight Trucks,"5/26/2023",2,0,0
1000790,Truck Tractors,"5/26/2023",5,0,0
1000790,Trailers*,"5/26/2023",2,0,0
1000792,Straight Trucks,"5/26/2023",1,0,0
1000793,Truck Tractors,"5/26/2023",0,1,0
1000793,Trailers*,"5/26/2023",0,1,0
1000797,Truck Tractors,"5/26/2023",1,0,0
1000797,Trailers*,"5/26/2023",1,0,0
1000798,Straight Trucks,"5/26/2023",1,0,0
1000799,Truck Tractors,"5/26/2023",1,1,0
1000799,Trailers*,"5/26/2023",1,0,0
10008,Straight Trucks,"5/26/2023",485,0,0
10008,Truck Tractors,"5/26/2023",11,0,0
10008,Trailers*,"5/26/2023",11,0,0
1000800,Straight Trucks,"5/26/2023",4,0,0
1000800,Trailers*,"5/26/2023",2,0,0
1000801,Straight Trucks,"5/26/2023",4,0,0
1000801,Truck Tractors,"5/26/2023",4,0,0
1000801,Trailers*,"5/26/2023",8,0,0
1000801,Hazmat Cargo Tank Trucks,"5/26/2023",1,0,0
