"carrier_id","date_pulled","cargo_carried"
1000484,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,GARBAGE,REFUSE,TRASH,""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000485,"5/26/2023",{SEPTAGE}
1000486,"5/26/2023","{""GENERAL FREIGHT"",GRAIN,FEED,HAY}"
1000491,"5/26/2023",{LIQUIDS/GASES}
1000493,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",""FRESH PRODUCE"",""INTERMODAL CONTAINERS"",MEAT,CHEMICALS,""REFRIGERATED FOOD"",BEVERAGES,""PAPER PRODUCTS""}"
1000494,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CRANE}"
1000495,"5/26/2023","{""GENERAL FREIGHT"",""HOUSEHOLD GOODS""}"
1000501,"5/26/2023","{""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",CONSTRUCTION}"
1000504,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""INTERMODAL CONTAINERS""}"
1000506,"5/26/2023","{""GENERAL FREIGHT"",MACHINERY,""LARGE OBJECTS"",LIVESTOCK,GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000508,"5/26/2023","{MACHINERY,""LARGE OBJECTS""}"
1000513,"5/26/2023","{""TRUCK DRIVING SCHOOL""}"
1000514,"5/26/2023",{SEPTAGE}
1000515,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000519,"5/26/2023","{""LAWN AND GARDEN EQUIPMENT"",""LAWN TRACTORS""}"
1000521,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",CONSTRUCTION,AGGREGATES}"
1000523,"5/26/2023",{SEPTAGE}
1000524,"5/26/2023","{""GENERAL FREIGHT""}"
1000527,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,""FARM SUPPLIES""}"
1000528,"5/26/2023","{""GENERAL FREIGHT""}"
1000529,"5/26/2023","{""GENERAL FREIGHT"",""DRIVE AWAY/TOWAWAY"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT""}"
1000530,"5/26/2023","{""SEWAGE AND SEPTIC""}"
1000532,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,""FARM SUPPLIES"",""WATER WELL""}"
1000534,"5/26/2023","{""DRIVE AWAY/TOWAWAY""}"
1000535,"5/26/2023","{GRAIN,FEED,HAY}"
1000536,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",""REFRIGERATED FOOD""}"
1000539,"5/26/2023","{""BUILDING MATERIALS""}"
1000547,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",""COMMODITIES DRY BULK"",CONSTRUCTION}"
1000548,"5/26/2023","{""TOOLS PIPE""}"
1000549,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000551,"5/26/2023","{GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000552,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,MACHINERY,""LARGE OBJECTS"",GARBAGE,REFUSE,TRASH}"
1000554,"5/26/2023","{""GENERAL FREIGHT"",""PAPER PRODUCTS""}"
1000556,"5/26/2023","{LIQUIDS/GASES,SEPTIC}"
1000557,"5/26/2023","{""LANDSCAPING TOOLS""}"
1000559,"5/26/2023","{GRAIN,FEED,HAY}"
1000562,"5/26/2023","{""BUILDING MATERIALS"",""STORAGE SHEDS""}"
1000564,"5/26/2023","{GRAIN,FEED,HAY,""COMMODITIES DRY BULK"",""FARM SUPPLIES""}"
1000566,"5/26/2023",{CONSTRUCTION}
1000567,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS""}"
1000570,"5/26/2023","{""GENERAL FREIGHT""}"
1000573,"5/26/2023",{MANURE/ASPHALT}
1000574,"5/26/2023","{""BUILDING MATERIALS""}"
1000575,"5/26/2023","{""GENERAL FREIGHT"",""METAL; SHEETS"",COILS,ROLLS,""MOTOR VEHICLES"",LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",MACHINERY,""LARGE OBJECTS"",""OIL FIELD EQUIPMENT"",GRAIN,FEED,HAY,COAL,COKE,GARBAGE,REFUSE,TRASH,""COMMODITIES DRY BULK"",""PAPER PRODUCTS"",UTILITY,""FARM SUPPLIES"",CONSTRUCTION}"
1000581,"5/26/2023","{""METAL; SHEETS"",COILS,ROLLS,""BUILDING MATERIALS"",CONSTRUCTION}"
1000591,"5/26/2023","{""FRESH PRODUCE""}"
1000593,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
1000594,"5/26/2023","{""GENERAL FREIGHT"",LIVESTOCK,GRAIN,FEED,HAY}"
1000597,"5/26/2023","{GRAIN,FEED,HAY}"
1000601,"5/26/2023",{ASPHALT}
1000603,"5/26/2023",{SALVAGE}
1000604,"5/26/2023","{GRAIN,FEED,HAY}"
1000610,"5/26/2023","{""USED PALLETS""}"
1000611,"5/26/2023","{""GENERAL FREIGHT"",""FRESH PRODUCE"",MEAT,""COMMODITIES DRY BULK"",""REFRIGERATED FOOD"",""PAPER PRODUCTS""}"
1000612,"5/26/2023","{""MOTOR VEHICLES""}"
1000615,"5/26/2023","{""GENERAL FREIGHT"",CHEMICALS,""PAPER PRODUCTS""}"
1000617,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",TOOLS}"
1000618,"5/26/2023","{""MOTOR VEHICLES"",""DRIVE AWAY/TOWAWAY"",TOWING}"
1000628,"5/26/2023","{""GENERAL FREIGHT"",""BUILDING MATERIALS"",TILE,MARBLE}"
1000629,"5/26/2023","{LIVESTOCK,GRAIN,FEED,HAY,WATER}"
1000630,"5/26/2023","{""BUILDING MATERIALS""}"
1000631,"5/26/2023",{PASSENGERS}
1000632,"5/26/2023","{CONSTRUCTION,DIRT,ROCK}"
1000635,"5/26/2023","{""MOTOR FUELS""}"
1000636,"5/26/2023",{CONSTRUCTION}
1000637,"5/26/2023","{LOGS,POLES,BEAMS,LUMBER,""BUILDING MATERIALS"",GARBAGE,REFUSE,TRASH,CONSTRUCTION}"
1000638,"5/26/2023","{MACHINERY,""LARGE OBJECTS"",GRAIN,FEED,HAY,GRAVEL}"
1000639,"5/26/2023","{""BUILDING MATERIALS"",CONSTRUCTION}"
